date,renewable_share,fossil,nuclear,hydro,wind,solar,total_generation,price_actual,total_load_actual,temp_c,wind_speed
2015-01-01,0.37215512415466084,214102,170328,102844,89002,27443,621644,62.14875,23896.75,3.6831859103399975,1.95
2015-01-02,0.6126963362794972,119431,170540,157252,269409,30053,762913,69.32708333333333,27251.291666666664,4.486809224821087,1.575
2015-01-03,0.5851084309113888,120363,170289,160383,220018,26871,716862,65.70666666666666,25110.666666666668,5.531727537065464,1.575
2015-01-04,0.5481137087457238,145679,170007,127838,193576,57660,711502,58.26416666666667,27112.625,6.626423536554216,1.2583333333333333
2015-01-05,0.5393563280071797,129048,66847,82767,124571,18461,432332,74.56875,22559.444444444445,6.006322780866595,1.15
2015-01-06,0.352077907860633,296241,116324,98829,60726,54315,648561,68.85541666666667,27802.666666666668,4.909087838701458,1.0833333333333333
2015-01-07,0.3563803567577559,350433,143648,70413,138788,55267,779016,78.77583333333334,32105,4.9721846082566685,1.3666666666666667
2015-01-08,0.3211422072741218,292539,161795,62513,86760,55232,680577,78.81041666666667,26312.5,5.3424357665516595,1.7416666666666667
2015-01-09,0.2996636306346582,347505,164598,67139,103102,39061,742636,76.59833333333333,30511,6.33031756454502,1.7166666666666666
2015-01-10,0.2802998584149876,334382,144045,76398,54124,43800,675919,68.2725,27990.75,7.055672426188676,2.2916666666666665
2015-01-11,0.5460115083184602,152240,121013,78128,231111,15098,620247,59.51208333333333,22870.75,7.970932147878346,2.475
2015-01-12,0.22781833473045596,424120,130971,101482,30241,21301,728879,71.58958333333334,31338.416666666664,7.235787257157483,1.7833333333333334
2015-01-13,0.35953428311776303,333540,170410,97046,155037,21269,799971,69.64875,32134.75,8.47406422546015,2.816666666666667
2015-01-14,0.35048056811740563,345990,170375,108986,142224,17568,808002,74.775,32114.166666666664,8.45271574642129,2.25
2015-01-15,0.4355445331087377,269311,170280,88827,229207,13991,793129,60.33541666666667,32057.833333333336,9.432208964404428,3.8833333333333333
2015-01-16,0.45458721968886406,268809,170436,100182,243007,16257,820606,65.80875,32104.833333333336,9.084195376405946,3.8916666666666666
2015-01-17,0.39755056517169635,270708,170462,100538,158548,23884,745968,59.1375,29190.75,4.853210474182028,2.05
2015-01-18,0.37825616022669745,260922,170517,104954,142838,5990,707198,57.33541666666667,27896.75,5.76563848415136,3.3333333333333335
2015-01-19,0.3820264715476205,297389,151612,94643,158345,16471,738831,66.70625,33029.333333333336,5.9445245478655675,3.8583333333333334
2015-01-20,0.32024997313245884,395529,146293,130298,103250,11254,809527,74.39666666666666,34037.083333333336,4.279719964212701,1.7333333333333334
2015-01-21,0.40077502515105656,341814,148712,107575,196602,14563,831973,66.8475,34159.458333333336,4.492868209994915,3.6
2015-01-22,0.42352864007954044,325953,167502,95820,238589,19003,868992,63.945,33918.666666666664,6.145457238944305,4.1
2015-01-23,0.4105638962244372,322493,170387,94003,210598,29037,848986,66.74625,33456.583333333336,5.446117459100225,2.216666666666667
2015-01-24,0.44205969310557264,255981,170308,92093,204746,32015,775902,58.13,29983.875,4.439985461400842,2.7333333333333334
2015-01-25,0.5049272777727363,200106,170326,95168,242590,33737,760359,53.51708333333333,27512.291666666668,6.682385448619657,3.3916666666666666
2015-01-26,0.39905043442686583,310581,170431,116723,161767,32534,811529,70.52208333333333,32540.041666666664,4.791993881007177,1.375
2015-01-27,0.40256509375107646,298969,163375,86709,189012,27542,783831,68.08416666666666,32933.166666666664,6.487015752811885,2.0666666666666664
2015-01-28,0.39870062155409175,296755,163252,94935,174816,26540,774832,70.21041666666667,32604.391304347828,6.0573960729805965,1.625
2015-01-29,0.5376878447783907,212567,170286,94623,328227,15908,841120,57.16125,32599.541666666664,8.492856978527634,4.550000000000001
2015-01-30,0.6275001537999443,132735,170344,141321,357754,8538,828999,46.515,32186.25,12.258520098415156,9.633333333333333
2015-01-31,0.6448102160411036,99491,170443,148045,323197,17915,775408,31.1675,28893.083333333332,9.195307930726,6.741666666666666
2015-02-01,0.3279230586503298,282064,170339,130130,54976,26002,681974,31.62625,26377.46153846154,6.391021280674877,4.466666666666667
2015-02-02,0.5017590603570502,219367,170547,153666,220893,10592,794174,62.24458333333333,32887.25,6.122575840363012,4.241666666666666
