season,hour_local,load,price,renewable_share
Autumn,0,25617.532967032967,59.5796978021978,0.33151246049327543
Autumn,1,24064.082417582416,56.370741758241756,0.3379658697386406
Autumn,2,23007.383152173912,53.90442934782609,0.34433246652662475
Autumn,3,22574.324175824175,52.56513736263736,0.3482468847321284
Autumn,4,22413.593406593405,51.90074175824176,0.3473238376325853
Autumn,5,22743.945054945056,53.11615384615384,0.33968490206228524
Autumn,6,24453.879120879123,57.78901098901099,0.32605203191871257
Autumn,7,27197.20879120879,62.35434065934066,0.3223207047445103
Autumn,8,28908.052341597795,65.2068956043956,0.3283792755433075
Autumn,9,30242.168044077138,66.66791208791209,0.34511598304868524
Autumn,10,31127.37637362637,66.63348901098901,0.3653474775703643
Autumn,11,31451.70523415978,66.18862637362638,0.37987347676676325
Autumn,12,31660.24242424242,65.82862637362638,0.3865271120848574
Autumn,13,31715.030219780216,65.63516483516483,0.3883883320144007
Autumn,14,30876.494505494502,64.1496978021978,0.38572993356207036
Autumn,15,30113.854395604394,62.24486263736264,0.38333324746212155
Autumn,16,29784.35714285714,62.056785714285716,0.37709356184849746
Autumn,17,29901.546703296706,64.44318681318681,0.3668687518998137
Autumn,18,30520.89285714286,68.1275,0.35964408758990846
Autumn,19,31183.790633608813,70.58186813186813,0.3528152742740028
Autumn,20,32158.59340659341,71.9340934065934,0.34867260455364923
Autumn,21,31916.14010989011,70.53906593406593,0.3419345335637424
Autumn,22,29750.20054945055,65.7623076923077,0.3329986118678349
Autumn,23,27377.593406593405,61.98197802197802,0.32565587712054284
Spring,0,25731.176630434784,48.365625,0.4316679874524302
Spring,1,24086.035326086956,45.012173913043476,0.43476742220039255
Spring,2,23032.387362637364,42.72148351648352,0.4356050837546193
Spring,3,22514.090163934427,41.82244565217391,0.4379873186870967
Spring,4,22315.516304347828,41.407391304347826,0.43633497924995895
Spring,5,22632.23978201635,42.662744565217395,0.42962628410388537
Spring,6,24192.244565217392,46.261576086956524,0.4200505567953381
Spring,7,26389.72752043597,49.124157608695654,0.4182384458718471
Spring,8,28327.790190735694,52.94054347826087,0.42939036770242106
Spring,9,29890.75749318801,53.74475543478261,0.4496026729602574
Spring,10,30875.610354223434,53.14214673913044,0.4704539898869214
Spring,11,31254.915760869564,52.65951086956522,0.48267800389893073
Spring,12,31355.445652173912,51.90152173913044,0.49034421497214825
Spring,13,31391.4375,51.3623097826087,0.4936244196819192
Spring,14,30538.771739130436,49.80516304347826,0.49309718446758044
Spring,15,29685.8125,47.21516304347826,0.49411680151878135
Spring,16,29306.021739130436,46.12076086956522,0.4922738034734797
Spring,17,29194.258152173912,46.897119565217395,0.48562482276336705
Spring,18,29243.72554347826,49.00671195652174,0.47611834220204424
