month,fossil,nuclear,hydro,wind,solar,other_renewable,other,total_generation,price_actual,total_load_actual,renewable_share
2015-01-01,8165726,4886156,3178475,5561782,828578,406372,219162,23246251,64.9490188172043,29998.903663500678,0.42911035418141186
2015-02-01,6285060,4489715,3764401,5195774,836321,363327,197050,21131648,56.383854166666666,29474.27231467473,0.4807870640283238
2015-03-01,6993370,4969120,3607055,5013674,953625,397311,187159,22121314,55.522462987886946,28437.179004037684,0.45077182123991366
2015-04-01,7591803,4356946,2878604,3953582,1049371,356143,181107,20367556,58.35408333333333,27440.37290502793,0.4044520609149178
2015-05-01,6801507,4020440,3146382,5027512,1428683,427157,212193,21063874,57.29405913978495,27459.159029649596,0.47615808943786886
2015-06-01,8718895,4069020,2726005,3145981,1437037,396536,238619,20732093,65.97490277777777,28052.988888888893,0.3716729902764762
2015-07-01,10655876,4823816,2578304,2942709,1468463,432125,242114,23143407,71.0720430107527,30501.127688172048,0.32067884387117246
2015-08-01,8696277,4789757,2409728,3612993,1293779,436820,234131,21473485,63.998064516129034,27723.336021505373,0.36106482017241265
2015-09-01,8367862,4655646,2466439,3113136,1145729,421253,228949,20399014,60.25479166666667,27737.508333333324,0.35033835458909923
2015-10-01,8832474,4355385,2522099,3420344,805216,439128,240184,20614830,59.406765100671144,27618.47913862719,0.3486221812161439
2015-11-01,8936440,4300614,2664907,3235510,843638,413229,235704,20630042,60.726791666666664,28269.64722222222,0.3469350183581788
2015-12-01,8329325,4923140,2491179,3672754,649615,412772,216460,20695245,61.90176075268817,27661.425302826374,0.34917779422277917
2016-01-01,7611959,4630544,4446015,3715089,763152,400235,239948,21806942,45.57872311827957,29309.560483870966,0.4275927821516653
2016-02-01,5544987,4286848,4784339,4547899,875609,351340,201404,20592426,36.75208333333333,29271.589080459766,0.5127704234556919
2016-03-01,5787775,4978017,4467472,4372325,1027499,373838,223536,21230462,36.818008075370116,28022.55047106326,0.48237923414007666
2016-04-01,4963051,4828613,5190841,3847098,1001100,262919,210827,20304449,32.61866666666667,28007.08217270195,0.5073744182863569
2016-05-01,5350554,4251223,4870463,3950182,1256751,309865,198194,20187232,34.69137096774193,27341.5868102288,0.5145460754599739
2016-06-01,6002523,4786174,3261897,4059747,1398837,305151,225626,20039955,46.26631944444444,28275.488888888893,0.45038184965984207
2016-07-01,7552357,4931918,2857897,4246864,1423421,319874,257631,21589962,47.502016129032256,29505.90174966353,0.40982267592689603
2016-08-01,7283886,4935212,2707500,3796776,1365874,333368,253540,20676156,47.60233870967742,28786.693548387102,0.39676224149208394
2016-09-01,6916803,4806544,2468286,3948981,1114714,311892,249638,19816858,50.40559722222222,28221.912378303205,0.39581819681000896
2016-10-01,8481546,4899631,2754784,3567752,754896,312900,250842,21022351,60.18242953020134,27306.54093959731,0.35154640886740024
